Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00360621703012591,5.13966575302616E-05,-0.0043754845331987,0,0,0,0.905716016234243,0.00107148927738251,2.76094590635663E-06,-5.48596184839886E-07,0.00144104333997985,2.22550097763412E-07,0.00244792600108889,0,0,0,0,0,0,package://加块/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://加块/meshes/base_link.STL,,R2打印件青斑云台固定玻纤板666-1;R2铝管2210.20666-1;R2铝管2210.20666-2;R2铝管2210.20666-3;R2打印件青斑云台666-1;标准质量RS06-2;R2上压板666-1,base坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.000108374982880771,-0.0224173657094816,0.029569493742257,0,0,0,1.91180538120759,0.00130826953333855,1.36686617170016E-06,1.38971343692845E-05,0.00190867031534286,1.26824667763748E-06,0.0017708012751492,0,0,0,0,0,0,package://加块/meshes/Empty_Link1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link1.STL,,R2云台板子666-1;标准质量RS06-2;R2打印件青斑云台666-1;R2下地板玻纤666-1;R2CNC云台电机直连板上部666-1;R2支撑玻纤赛道666-1;R203电机支撑板666-1;标准质量RS03-1;R203电机支撑板后侧666-1;R2内3外8厚1垫片666-2;R2内3外8厚1垫片666-1;R2M3.38机械臂666-4;R2M3.38机械臂666-2;R212.12.12.4六面螺母666-5;R212.12.12.4六面螺母666-4;R212.12.12.4六面螺母666-1;R210.10.22六面螺母666-1;R212.12.12.4六面螺母666-6;R212.12.12.4六面螺母666-8;R212.12.12.4六面螺母666-7;R210.10.22六面螺母666-2;R210.10.6六面螺母666-3;R212.12.12.4六面螺母666-3;R2法兰轴承30.42.7666-1;R2下地板da引荐666-1;WODE1BANZI-1;电磁阀板子固定-1,底盘坐标系2,底盘旋转轴,j1,continuous,6.34132927793407E-05,-0.00167405073291106,0.0278500000000087,0,0,0,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
Empty_Link2,0.375032807584109,-0.00767142856849168,-0.014875051736123,0,0,0,1.09233144358037,0.0005626450541676,4.63551737429072E-07,-5.41332728898312E-05,0.00825256907491952,-1.20408146474298E-06,0.00858584566040511,0,0,0,0,0,0,package://加块/meshes/Empty_Link2.STL,0.701960784313725,0.670588235294118,0.933333333333333,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link2.STL,,R2机械臂垫块大臂支持666-1;R2大臂铝管40.60666-1;R2夹板666-1;R2夹板666-2;R2CNC电机输出铝管夹666-1;R2CNC卡周转轴666-1;R2CNC电机输出666-1;标准质量RS06-1;R2垫块06电机666-1;R2垫块06电机666-2;R2加固铝管啥的666-1;R2外牙班666-1;R2法兰轴承30.42.7.2666-1;R215.15铝管666-1,大臂坐标系3,大臂旋转轴,j2,revolute,0.00565491862295636,0.0185517283813911,0.0710733482199691,-1.5707963267949,-0.854320177274915,0,Empty_Link1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Empty_Link3,0.396708620826614,-0.000958004863177431,0.0146574939105666,0,0,0,0.750870225721507,0.000311759469197798,-4.43261859254487E-06,2.95134819187516E-06,0.00280789973083463,-6.86575203871496E-07,0.00305821466409237,0,0,0,0,0,0,package://加块/meshes/Empty_Link3.STL,0.647058823529412,0.854901960784314,0.533333333333333,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link3.STL,,R2垫块铝管内部666-1;R2小臂电机转动带动WAI盖666-1;R2小臂铝管666-1;R2小臂电机转动带动666-1;R2末端666-1/R25.142525减重最终版末端垫块填充05青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端电机01另册05青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端固定01电机05青春版减重版666-1;R2末端666-1/标准质量RS01-1;R2末端666-1/R25.142525减重最终版末端固定01电机上盖兹05青春版减重版666-1;电磁阀固定-1;VT307V-5G1-01两路三通电磁阀-1;质修R25.142525减重最终版末端垫圈1105青春版减重版666(1)-1,小臂坐标系4,小臂旋转轴,j3,revolute,0.500001547205985,-0.00750000000003981,0.0418960557056171,3.14159265358979,0,2.33635580531102,Empty_Link2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Empty_Link4,0.038863501011841,0.0683350051478873,-0.0302743604655186,0,0,0,0.328855136025889,0.000130515381077466,-1.58524988603639E-07,2.47556859422436E-07,8.67316206395659E-05,-5.5584311774188E-08,0.000124148178178434,0,0,0,0,0,0,package://加块/meshes/Empty_Link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link4.STL,,R2末端666-1/R25.142525减重最终版末端垫01电机05青春版减重版666-2;R2末端666-1/R25.142525减重最终版末端第四关节玻纤板05青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端第四关节玻纤板另一侧05青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端垫块填充是的是的05青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端榫卯插板05青春版减重版666-1;R2末端666-1/换EL05 (1)-1;R2六面落幕666-2;R2六面落幕666-1;R2末端666-1/R25.142525减重最终版末端榫卯插板下05青春版减重版666-1;R210.10.6六面螺母666-2;R210.10.6六面螺母666-1;R2末端666-1/R25.142525减重最终版末端轴承6.11.4.505青春版减重版666-2;R2末端666-1/R25.142525减重最终版末端轴承6.11.4.505青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端轴承精品05青春版减重版666-1,末端坐标系5,moduan,j4,revolute,0.49337271998737,-0.000717203264855637,-0.0114999985821401,3.14159265358979,0,2.99564628740265,Empty_Link3,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Empty_Link5,0.0409963273842915,-0.00073737247367877,-0.0449408988432979,0,0,0,0.107863966418761,2.27221737578051E-05,2.69721515117391E-08,5.25283476817909E-07,2.42204415320291E-05,5.16755491615407E-09,3.18656466025931E-05,0,0,0,0,0,0,package://加块/meshes/Empty_Link5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link5.STL,,R2末端666-1/R2减重最终版垫块05电机5毫米外界吸盘减重版666-1;R2末端666-1/R25.142525减重最终版末端六面螺母305青春版减重版666-1;R2末端666-1/R25.142525减重最终版吸盘家具减重版666-1;R2末端666-1/R25.142525减重最终版末端六面螺母305青春版减重版666-2;R2末端666-1/R2减重最终版垫块05电机5毫米外界吸盘下端减重版666-1;R2吸盘撒旦撒旦666-2;R2吸盘撒旦撒旦666-1;R2末端666-1/R2减重最终版末端吸盘（直径80）05青春版减重版666-1;R2末端666-1/R25.142525减重最终版垫块05电机5毫米减重版666-1;R2末端666-1/R25.142525减重最终版垫块05电机5毫米减重版666-3;R2末端666-1/R25.142525减重最终版垫块05电机减重版666-1;R2末端666-1/R2减重最终版末端轴承6.11.4.505青春版减重版666-1;R2末端666-1/R25.142525减重最终版末端轴承6.11.4.505青春版减重版666-3;R2末端666-1/R25.142525减重最终版末端轴承6.11.4.505青春版减重版666-4,吸盘1坐标系6,吸盘旋转轴,j5,revolute,0.0419999999991213,0.0759999999957396,-0.0298500018499103,1.5707963267949,0,1.51361065936655,Empty_Link4,-0.0571545044239792,0,-0.998365345263972,100,1,-3.14,3.14,,,,,,,,
Empty_Link6,3.86468551952235E-09,1.96579288749832E-08,-0.137514746784072,0,0,0,0.780213928601236,0.0129384512539947,-2.76048037510176E-18,5.96311194867027E-19,0.0129384512539947,4.03981776281098E-19,0.0129748869006043,0,0,0,0,0,0,package://加块/meshes/Empty_Link6.STL,0.113725490196078,0.113725490196078,0.113725490196078,1,0,0,0,0,0,0,package://加块/meshes/Empty_Link6.STL,,R2末端666-1/R2减重最终版末端吸盘（直径80）末05青春版减重版666-1;kfs-1,吸盘2坐标系7,吸盘自旋轴,j6,revolute,0.109242831460937,-0.00191951430536354,-0.0510772135029806,0.0171393597075962,1.51361065936655,3.14159265358978,Empty_Link5,0,0,1,100,1,-3.14,3.14,,,,,,,,
